year,st_abr,st_name,st_code,st_south,st_pop,st_uemp,inc_icpsr,inc_pos,inc_spend,ch_qual,ch_spend,ch_wealthy,inc_2p_share,st_id,inc_tenure,inc_rep
1982,IN,Indiana,22,0,5467922,11.899999618530273,14506,0.25999999046325684,2973791,4,870023,0,0.5414847135543823,9.699999809265137,6,1
1982,MA,Massachusetts,3,0,5771222,8,10808,-0.4429999887943268,2470473,0,2305996,1,0.6138172745704651,2.9000000953674316,20,0
1982,MD,Maryland,52,0,4282923,8.199999809265137,13039,-0.4129999876022339,1612746,2,580953,0,0.6345764398574829,13.600000381469727,6,0
1982,ME,Maine,2,0,1136684,8.300000190734863,14713,-0.3319999873638153,1208026,4,1081122,0,0.6086978316307068,15.399999618530273,2,0
1982,MI,Michigan,23,0,9115198,15.600000381469727,11043,-0.3889999985694885,1540563,4,1045545,1,0.5856184363365173,8,6,0
1982,MN,Minnesota,33,0,4131450,8.100000381469727,14703,0.04800000041723251,3969408,0,7172312,1,0.5259708762168884,10.699999809265137,4,1
1982,MO,Missouri,34,0,4929451,9.199999809265137,14501,0.1379999965429306,1806350,1,1193966,0,0.5085024237632751,15.100000381469727,6,1
1982,MS,Mississippi,46,1,2556777,11.5,8883,0.04399999976158142,944054,0,1133384,0,0.6419880986213684,33.20000076293945,35,0
1982,MT,Montana,64,0,803986,8.199999809265137,12039,-0.2849999964237213,823924,0,708286,0,0.5665349364280701,26.600000381469727,6,0
1982,ND,North Dakota,36,0,668972,5.699999809265137,1252,-0.3610000014305115,779859,0,406601,0,0.6486542820930481,43.20000076293945,22,0
1982,NE,Nebraska,35,0,1581780,5.699999809265137,14512,-0.007000000216066837,522616,0,489186,0,0.6999480128288269,26.299999237060547,6,0
1982,NJ,New Jersey,12,0,7430968,8.699999809265137,14911,0.2939999997615814,NA,NA,NA,NA,NA,13.100000381469727,0,1
