"FEDFUNDS","lag_FEDFUNDS","democrat","election","inflation","DATE"
9.46,8.8000002,0,10,3.90184,"01jul1983"
9.43,9.46,0,11,3.996,"01oct1983"
9.69,9.4300003,0,12,5.66964,"01jan1984"
10.56,9.6899996,0,13,3.77244,"01apr1984"
11.39,10.56,0,14,3.47828,"01jul1984"
9.27,11.39,0,15,3.44828,"01oct1984"
8.48,9.2700005,0,0,3.67332,"01jan1985"
7.92,8.4799995,0,1,3.63612,"01apr1985"
7.9,7.9200001,0,2,2.48804,"01jul1985"
8.1,7.9000001,0,3,4.07784,"01oct1985"
7.83,8.1000004,0,4,2.08072,"01jan1986"
6.92,7.8299999,0,5,-1.94948,"01apr1986"
6.21,6.9200001,0,6,2.44696,"01jul1986"
6.27,6.21,0,7,2.79672,"01oct1986"
6.22,6.27,0,8,4.8268,"01jan1987"
6.65,6.2199998,0,9,4.53308,"01apr1987"
6.84,6.6500001,0,10,4.24528,"01jul1987"
6.92,6.8400002,0,11,3.7316,"01oct1987"
6.66,6.9200001,0,12,3.1214,"01jan1988"
7.16,6.6599998,0,13,4.59076,"01apr1988"
7.98,7.1599998,0,14,4.87552,"01jul1988"
8.47,7.98,0,15,4.36976,"01oct1988"
9.44,8.4700003,0,0,4.54532,"01jan1989"
9.73,9.4399996,0,1,6.46356,"01apr1989"
9.08,9.7299995,0,2,3.1286,"01jul1989"
8.61,9.0799999,0,3,4.0674,"01oct1989"
8.25,8.6099997,0,4,6.88344,"01jan1990"
8.24,8.25,0,5,3.95836,"01apr1990"
8.16,8.2399998,0,6,6.90796,"01jul1990"
7.74,8.1599998,0,7,6.79372,"01oct1990"
6.43,7.7399998,0,8,2.99028,"01jan1991"
5.86,6.4299998,0,9,2.37448,"01apr1991"
5.64,5.8600001,0,10,3.04792,"01jul1991"
4.82,5.6399999,0,11,3.31772,"01oct1991"
4.02,4.8200002,0,12,2.71248,"01jan1992"
3.77,4.02,0,13,3.075,"01apr1992"
3.26,3.77,0,14,3.0544,"01jul1992"
3.04,3.26,0,15,3.50284,"01oct1992"
3.04,3.04,1,0,2.912,"01jan1993"
3,3.04,1,1,2.88816,"01apr1993"
3.06,3,1,2,1.85148,"01jul1993"
2.99,3.0599999,1,3,3.31568,"01oct1993"
3.21,2.99,1,4,2.00868,"01jan1994"
3.94,3.21,1,5,2.27132,"01apr1994"
4.49,3.9400001,1,6,3.70628,"01jul1994"
5.17,4.4899998,1,7,2.32908,"01oct1994"
5.81,5.1700001,1,8,2.93788,"01jan1995"
6.02,5.8099999,1,9,3.26912,"01apr1995"
5.8,6.02,1,10,2.01708,"01jul1995"
5.72,5.8000002,1,11,2.17968,"01oct1995"
5.36,5.7199998,1,12,3.55756,"01jan1996"
5.24,5.3600001,1,13,3.43852,"01apr1996"
5.31,5.2399998,1,14,2.3018,"01jul1996"
5.28,5.3099999,1,15,3.47616,"01oct1996"
5.28,5.2800002,1,0,2.43528,"01jan1997"
5.52,5.2800002,1,1,0.9196,"01apr1997"
5.53,5.52,1,2,2,"01jul1997"
5.51,5.5300002,1,3,2.15672,"01oct1997"
5.52,5.5100002,1,4,0.82392,"01jan1998"
5.5,5.52,1,5,1.31604,"01apr1998"
5.53,5.5,1,6,2.05252,"01jul1998"
4.86,5.5300002,1,7,1.87552,"01oct1998"
4.73,4.8600001,1,8,1.46224,"01jan1999"
4.75,4.73,1,9,2.99636,"01apr1999"
5.09,4.75,1,10,2.97168,"01jul1999"
5.31,5.0900002,1,11,2.94976,"01oct1999"
5.68,5.3099999,1,12,3.95884,"01jan2000"
6.27,5.6799998,1,13,3.13464,"01apr2000"
6.52,6.27,1,14,3.65624,"01jul2000"
6.47,6.52,1,15,2.85088,"01oct2000"
5.59,6.4699998,0,0,3.82704,"01jan2001"
4.33,5.5900002,0,1,2.80388,"01apr2001"
3.5,4.3299999,0,2,1.12908,"01jul2001"
2.13,3.5,0,3,-0.29948,"01oct2001"
1.73,2.1300001,0,4,1.27776,"01jan2002"
1.75,1.73,0,5,3.14488,"01apr2002"
1.74,1.75,0,6,2.15304,"01jul2002"
1.44,1.74,0,7,2.36544,"01oct2002"
1.25,1.4400001,0,8,4.1146,"01jan2003"
1.25,1.25,0,9,-0.65444,"01apr2003"
1.02,1.25,0,10,2.98468,"01jul2003"
1,1.02,0,11,1.51816,"01oct2003"
1,1,0,12,3.38568,"01jan2004"
1.01,1,0,13,3.143,"01apr2004"
1.43,1.01,0,14,2.55092,"01jul2004"
1.95,1.4299999,0,15,4.29432,"01oct2004"
2.47,1.95,0,0,2.02088,"01jan2005"
2.94,2.47,0,1,2.70316,"01apr2005"
3.46,2.9400001,0,2,6.05784,"01jul2005"
3.98,3.46,0,3,3.7294,"01oct2005"
4.46,3.98,0,4,2.08432,"01jan2006"
4.91,4.46,0,5,3.6096,"01apr2006"
5.25,4.9099998,0,6,3.77608,"01jul2006"
5.25,5.25,0,7,-1.642,"01oct2006"
5.26,5.25,0,8,3.86492,"01jan2007"
5.25,5.2600002,0,9,4.64832,"01apr2007"
5.07,5.25,0,10,2.4678,"01jul2007"
4.5,5.0700002,0,11,4.85532,"01oct2007"
3.18,4.5,0,12,4.39988,"01jan2008"
2.09,3.1800001,0,13,5.21864,"01apr2008"
1.94,2.0899999,0,14,6.25372,"01jul2008"
0.51,1.9400001,0,15,-9.44444,"01oct2008"
0.18,0.50999999,1,0,-2.43644,"01jan2009"
0.18,0.18000001,1,1,1.9148,"01apr2009"
0.16,0.18000001,1,2,3.6558,"01jul2009"
0.12,0.16,1,3,2.66272,"01oct2009"
0.13,0.12,1,4,1.2746,"01jan2010"
0.19,0.13,1,5,-0.5038,"01apr2010"
0.19,0.19,1,6,1.41576,"01jul2010"
0.19,0.19,1,7,2.61604,"01oct2010"
